,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
3682,Diplomatic Enclave,Diplomatic Enclave,6.0,2.0,7.8,2.0,"Fully Renovated and Furnished Two side corner Apartment Facing South and West Side (Rawal Lake facing), new bath rooms and kitchen. Tiled Floor, Good quality kitchen. Good Day light and Sun Light. 2 Bed Rooms attached baths, Big size of Living Dining Room, Spacious kitchen, seperate laundry and store room. For visit please call or whatsapp.",0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.7692307692307693,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
3696,Hyde Park One,Canyon Views Cvrp,2.48,2.0,6.9,2.0,Hyde Park One located in DHA Phase-5 Emaar (CDA Zone-5) Beautifully located apartment building Located right on Main Islamabad Expressway South facing corner apartment Expected delivery in June 2026 The balane amount of developer is approx 57 lacs which is to be paid in quarterly installments One and only residential project of DHA on Main Islamabad Expressway Very reasonable price Please do contact for visit/ any queries,0,1.0,1.0,1.0,1.0,2.0,,1.0,0.35942028985507246,Future,Ground/First Floor,Ground/Flat,Single/None
3699,Askari Heights 4,DHA Phase 5,4.05,4.0,13.1,4.0,"اسلام علیکم ورحمتہ اللہ وبرکاتہ! *AUTHORISED DEALER* MAJ MUHAMMAD AHSAN ULLAH CEO AL HAIDERI REAL ESTATE & ENTERPRISES FOR SALE, PURCHASE,RENT ASKARI COLONIES & DHA(ALL PAK) BAHRIA & RENOWNED SOCIETIES OF RWP /ISL CONTACT View Contact Detail View Contact Detail",0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,0.30916030534351147,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
3702,Askari Tower 1,DHA Phase 2,3.55,4.0,11.4,3.0,"Askari Tower -1 Three Bedroom Apartment Available For Sale With Open View Drawing Dining TV Lounge Kitchen Servant Room, Storeroom Near To Commercial Area And Giga Mall DHA APS School Best Opportunity For Living Purpose And Investment For More Details Contact With Dhanyal Enterprises",0,1.0,1.0,2.0,7.0,-1.0,,-1.0,0.3114035087719298,Modern Era,Ground/First Floor,Mid Rise Core,Dual Setup
3703,Faisal Town Phase 1,Faisal Town Phase 1,1.1,2.0,5.8,2.0,2 Bedrooms Apartment Available for sale in Faisal Town phase 1 of The gate mall Coverd Area 1300 sqft Floor 6th Price demand 110 lacs,0,1.0,6.0,6.0,16.0,0.0,1.0,0.0,0.18965517241379312,Brand New (2025),Mid-Level,High Rise,High-Capacity
3706,Silver Oaks Apartments,F-10,4.0,2.0,6.2,2.0,2 Bed Executive Apartment available in Imarat Downtown on main Isb Expressway. Apartments are being offered with all the major amenities. Fully developed area. Ideal Location with complete lifestyle. All facilities are available. One of the best resale in the market. It's development is happening right next to Sheraton Hotel. It can also be purchase on full payment to get further discounts. Price is slightly negotiable. Contact for more details.,0,1.0,1.0,1.0,25.0,2.0,1.0,1.0,0.6451612903225806,Brand New (2025),Ground/First Floor,High Rise,Single/None
3707,DHA Phase 2,DHA Phase 2,1.2,1.0,2.7,1.0,"One bed Hotel Suit available at main Road in Imarat Downtown. Ideal Location, Offering a complete lifestyle. All facilities are available. One of the best resale in the market. It's development is happening right next to Sheraton Hotel. It can also be purchase on full payment to get further discounts. . Price is slightly negotiable. Other options of 2 bed and 3 beds are also available. Contact for more details.",0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,0.4444444444444444,Brand New (2025),Ground/First Floor,High Rise,Single/None
3708,DHA Phase 5,DHA Phase 5,1.2,1.0,2.2,1.0,One bed Hotel Suit available at main Road in Imarat Downtown. Apartments are being offered with all the major amenities. Fully developed area. Ideal Location with complete lifestyle. All facilities are available. One of the best resale in the market. It's development is happening right next to Sheraton Hotel. It can also be purchase on full payment to get further discounts. Price is slightly negotiable. Contact for more details.,0,1.0,7.0,1.0,25.0,1.0,1.0,1.0,0.5454545454545454,Brand New (2025),Mid-Level,High Rise,Single/None
3709,DHA Phase 1,DHA Phase 1,1.2,1.0,2.2,1.0,Apartments are being offered with all the major amenities. Fully developed area. Ideal Location with complete lifestyle. All facilities are available. One of the best resale in the market. It's development is happening right next to Sheraton Hotel. It can also be purchase on full payment to get further discounts. Price is slightly negotiable. Contact for more details.,0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.5454545454545454,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3710,Chak Shahzad,Chak Shahzad,0.4,1.0,2.4,1.0,550 sqft flat available for sale at Ground floor,0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,0.16666666666666669,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3713,Goldcrest Views,DHA Phase 2,1.5,3.0,6.6,3.0,"Golden Opportunity For Investment In ULTRA Luxury Flats In Prime Location Of DHA Phase 2 Islamabad. . . Don't Miss This Opportunity Gold Crest Highlife -III 3 Bed Rooms Apartment 3rd Floor Size 1475 Sq Ft Margalla View Flat Upfront Payment 10,400,000/- Balanced Amount 4,373,000/- Pay in 2 Years Installments Plan Don't Miss This Golden Chance Structure 100% Completed Total Floor 24 Stories Building. Golden Opportunity For Investment In DHA Phase 2 Islamabad. Giving Attention To Every Detail And Day To Day Requirements Of Our Valued Customers, These Apartments Are Designed In 1, 2 And 3 Bedrooms. With Quality Finishes And High Class Interiors These Apartments Give A Beautiful View Of The Mountains Of Northern Pakistan And Kashmir. With Drawing, Dining And Lounge Built Keeping Your Comfort In Mind And An Open Styled Kitchen Representing A Modern And Stylish Look. With Bedrooms Carefully Designed For Comfort Alongside Offering Beautiful Views, Defence Tower Display A State Of The Art Design For Its Valued Customers. The Tower Displays A Night View That Has Been Designed To Get Direct And Indirect Lighting Systems That Gives An Iconic View Of The Building. The Building Will Also Have Its Own Entrance Lobby That Will Be Well Equipped With Technologically Sound And Spacious Elevators. Having Magnificent Interior And Exterior And State Of Art Technology Like CCTV Cameras, Intercom System And Information Counters, The Tower Will Set A New Benchmark In Becoming A Desirable Address In The Construction Industry. With Structure Work Already Been Started, The Project Will Also Offer The Following Features In Its Close Proximity. Project Features The Sports Complex Is Exclusively Designed Adjacent To The Project. It Would Have The Following Components Tennis Court Basketball Court Badminton Court Restaurant Table Tennis Jogging Track Wedding Lawn Gymnasium Snooker Club Swimming Pool Card-Room Chess Room Lobby Sauna And Jacuzzi Prayer Hall TV Lounge Library First Come First Serve",0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.2272727272727273,Future,Ground/First Floor,Ground/Flat,High-Capacity
3722,Goldcrest Highlife,DHA Phase 2,2.8,4.0,10.4,3.0,"Luxury Apartment In Prime Location In DHA Phase 2 Islamabad. Goldcrest Highlife-I Two Bedroom Apartment Floor 13th Area 2337Sq. Ft Total Price Rs. 28,000,000/- Upfront Payment Rs. 21,700,000/- (Payment To Be Paid To Owner Of The Apartment) Remaining balance of Rs. 6,192,000/- to be paid as per installment schedule. Grey Structure 100% Complete Internal building paint has been started Possession In 2026 Highly recommended for investment also for Good ROI Goldcrest Highlife Is Another Mega Project By The World Reknown Giga Group. This Project Is Being Developed 1 Km Inwards From The Main GT Road And Giga Mall In Sector A, DHA 2, Islamabad. Goldcrest Highlife Is A Real Estate Luxurious Investment And Lifestyle Project, With Standout Features. This Project Is Launched And Developed By Giga Group In The Heart Of Sector A, DHA Phase-II Islamabad. Goldcrest Highlife Offers Striking Architecture, World-Class Amenities, And Breathtaking Views. Each Unit Offers Breathtaking Views With Matchless Interior Finishes And Thoughtful Details With Only The Finest Materials Used In The Development, Offering A Unique And Unheard-Of Luxury Experience For The First Time In Pakistan. All The World-Class Features And Facilities Are Available In Goldcrest Highlife. The Rooftop Facilities Of Goldcrest Highlife Include Kids Playing Areas, Gyms, Gardens, Swimming Pools, Relaxation Areas, Health Clubs, And Sitting Areas. The BBQ Areas, Jogging Walking Tracks, Sitting Areas, A Mosque, And Fountains Are Also Available On The Rooftop For The Owners Of The Residential Units. Rooftop Amenities Infinity Swimming Pool, Relaxation Lounge, Juice Bar, Health Club, Gymnasium, Seating Area &Amp; Garden. Podium Level Mosque, Children Play Areas, Barbeque Area, Jogging Track, Water Bodies &Amp; Fountains, Garden. Standard Features 1, 2, 3-Bed Apartments, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.",0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.2692307692307692,Future,Ground/First Floor,Ground/Flat,High-Capacity
3723,Goldcrest Highlife,DHA Phase 2,1.55,3.0,6.6,3.0,"Golden Opportunity For Investment In ULTRA Luxury Flats In Prime Location Of DHA Phase 2 Islamabad. . . Don't Miss This Opportunity Gold Crest Highlife -III 3 Bed Rooms Apartment 3rd Floor Size 1475 Sq Ft Margalla View Flat Upfront Payment 11,000,000/- Balanced Amount 4,373,000/- Pay in 2 Years Installments Plan Don't Miss This Golden Chance Structure 100% Completed Total Floor 24 Stories Building. Golden Opportunity For Investment In DHA Phase 2 Islamabad. Giving Attention To Every Detail And Day To Day Requirements Of Our Valued Customers, These Apartments Are Designed In 1, 2 And 3 Bedrooms. With Quality Finishes And High Class Interiors These Apartments Give A Beautiful View Of The Mountains Of Northern Pakistan And Kashmir. With Drawing, Dining And Lounge Built Keeping Your Comfort In Mind And An Open Styled Kitchen Representing A Modern And Stylish Look. With Bedrooms Carefully Designed For Comfort Alongside Offering Beautiful Views, Defence Tower Display A State Of The Art Design For Its Valued Customers. The Tower Displays A Night View That Has Been Designed To Get Direct And Indirect Lighting Systems That Gives An Iconic View Of The Building. The Building Will Also Have Its Own Entrance Lobby That Will Be Well Equipped With Technologically Sound And Spacious Elevators. Having Magnificent Interior And Exterior And State Of Art Technology Like CCTV Cameras, Intercom System And Information Counters, The Tower Will Set A New Benchmark In Becoming A Desirable Address In The Construction Industry. With Structure Work Already Been Started, The Project Will Also Offer The Following Features In Its Close Proximity. Project Features The Sports Complex Is Exclusively Designed Adjacent To The Project. It Would Have The Following Components Tennis Court Basketball Court Badminton Court Restaurant Table Tennis Jogging Track Wedding Lawn Gymnasium Snooker Club Swimming Pool Card-Room Chess Room Lobby Sauna And Jacuzzi Prayer Hall TV Lounge Library First Come First Serve.",0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.23484848484848486,Brand New (2025),Ground/First Floor,Ground/Flat,Dual Setup
3724,Elysium Mall,Blue Area,4.65,1.0,3.4,1.0,"We Offer You A One Bedroom Apartment Fully Equipped With Modern Amenities And Fully Furnished With Rental Income Of 225,000/- (Two lacs twenty five thousands Only) Per Month. The Building Has A Unique Location In Heart Of Islamabad And Is Equipped With All The Modern Amenities And Facilities, Security Surveillance 24/7, Huge Parking Space. 2 Lifts Are Operational And A Cargo Lift.",0,1.0,6.0,4.0,12.0,0.0,1.0,1.0,1.3676470588235297,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
3725,F-11,F-11,7.75,4.0,15.6,4.0,"We Offer You A Huge Sized Apartment Consisting Of 4 Bedrooms Attached To Baths, Proper Drawing And Dining Area, Closed Kitchen, Tv Lounge And Servant Quarter , Underground Dedicated Car Parking. Feel Free To Call For More Information And Visit.",0,1.0,4.0,1.0,9.0,1.0,2.0,1.0,0.4967948717948718,Recently Built,Lower Floors,Mid Rise Core,Single/None
3727,Askari Tower 3,DHA Phase 5,3.35,3.0,12.0,3.0,3 Bedroom Apartment for Sale Askari Heights 3 (also known as Tower 3) DHA 5 Islamabad Spacious & well-maintained 3-bedroom apartment in Tower 3 TV Lounge | Drawing & Dining Room Servant Quarter | Attached Bathrooms 2 Functional Lifts | Basement Parking Balcony with a pleasant view Prime Location: Close to Masjid Near Commercial Area Steps away from Park & Jogging Track Secure & Peaceful Community Reasonable Demand Contact at: Your ideal family home in DHA 5 awaits!,0,1.0,1.0,1.0,2.0,,,0.0,0.2791666666666667,Future,Ground/First Floor,Lower Levels,Single/None
3730,Sukh Chayn Residence,F-10,11.5,5.0,12.4,4.0,Sukh Chayn Residence F-10 brand new building Corner 4 bedroom Apartment Available for Sale beautiful location Size 2790 SQ. ft 4 bedroom 5 bath Drawing room Tv lounge kitchen More option Available beautiful location,0,3.0,3.0,1.0,12.0,,1.0,1.0,0.9274193548387096,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
3731,Elysium Mall,Blue Area,8.0,3.0,6.7,2.0,2 Bedroom 1497 sq. feet Brand New Two Bedroom Apartment Zero Point Facing Elysium Tower Size: 1497 Sqft 7th floor Facing:Zero Point Brand New Two Bedroom Apartment Available for Sale Demand = 8 crore,0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.1940298507462686,Brand New (2025),Ground/First Floor,Lower Levels,Single/None
3735,Top City 1,Top City 1,0.75,1.0,2.2,2.0,"Topcity-1 Block A Studio / 1 Bed Apartment Available For Sale Accommodation: 1 Bed With Bath 1 Open Kitchen 1 TV Lounge 1 Terrace Rental Value 30,000/- (Non Furnished) Per Month Rental Value 50,000/- (Furnished) Per Month Punjpeer Properties Nouman Khan View Contact Detail .",0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,0.3409090909090909,Recently Built,Ground/First Floor,High Rise,Single/None
3743,Zarkon Heights,G-15,3.1,4.0,16.4,4.0,"4 Bed Luxury Apartment Available. For Sale in Zarkon Heights G-15 Islamabad. Flat Size 3700 Sq Ft. 4 Bedroom. 4 Bath. TV Lounge. Kitchen. Lift Available. Cargo Lift. Car Parking Space. 24 Hours Security. Neat and Clean. Electricity , Water and Gas Available. All facilities Available. Interested People Can Contact Easily",1,1.0,3.0,2.0,9.0,,,,0.18902439024390247,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3750,Faisal Hills,Faisal Hills,1.88,3.0,5.6,3.0,"Luxury Family Apartments for Sale Faisal Hills, Islamabad Welcome to a new standard of modern living in Faisal Hills, where elegance meets comfort. Our newly developed apartments are designed to offer families a luxurious yet practical lifestyle in one of Islamabads most sought-after communities. Apartment Features: Spacious 1, 2, and 3-bedroom apartments with contemporary layouts Premium kitchens with imported fittings and finishes Stylish living rooms with wide balconies and panoramic views High-quality flooring, built-in wardrobes, and energy-efficient lighting Smart home technology for convenience and security Community & Amenities: 24/7 security and CCTV monitoring for peace of mind Dedicated parking spaces and high-speed elevators Modern gym, swimming pool, and childrens play area Beautifully landscaped gardens and family-friendly surroundings Close to schools, shopping malls, hospitals, and main GT Road Why Choose Us: Experience a blend of sophistication and serenity a perfect place to raise your family while enjoying modern luxury. Each apartment reflects thoughtful design, quality craftsmanship, and long-term value. Book your visit today and step into the lifestyle you deserve in Faisal Hills, Islamabad. Limited units available!",0,4.0,3.0,3.0,6.0,,1.0,,0.33571428571428574,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
